Date,Name,Year,Month,Day,Weekday,Types,IsObserved,Country,Locations,States
2023-01-01,"New Year's Day",2023,1,1,Sun,National holiday,,United States,,
2023-01-01,"New Year's Day",2023,1,1,Sun,Local holiday,,United States,TX,Texas
2023-01-01,"New Year's Day",2023,1,1,Sun,Local holiday,,United States,"All except MA, MS, NY, RI, TX, WI","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Maine,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Jersey,New Hampshire,New Mexico,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Utah,Vermont,Virginia,Washington,West Virginia,Wyoming"
2023-01-01,"New Year's Day",2023,1,1,Sun,Local holiday,,United States,"MA, MS, NY, WI","Massachusetts,Mississippi,New York,Wisconsin"
2023-01-01,"New Year's Day",2023,1,1,Sun,Local holiday,,United States,RI,Rhode Island
2023-01-02,"New Year's Day",2023,1,2,Mon,Local holiday,1,United States,"All except MA, MS, NY, RI, TX, WI","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Maine,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Jersey,New Hampshire,New Mexico,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Utah,Vermont,Virginia,Washington,West Virginia,Wyoming"
2023-01-02,"New Year's Day",2023,1,2,Mon,National holiday,1,United States,,
2023-01-02,"New Year's Day",2023,1,2,Mon,Local holiday,1,United States,RI,Rhode Island
2023-01-02,"New Year's Day",2023,1,2,Mon,Local holiday,1,United States,"MA, MS, NY, WI","Massachusetts,Mississippi,New York,Wisconsin"
2023-01-03,"Asarah B'Tevet",2023,1,3,Tue,Hebrew,,United States,,
2023-01-04,World Braille Day,2023,1,4,Wed,United Nations observance,,United States,,
2023-01-06,Epiphany,2023,1,6,Fri,Christian,,United States,,
2023-01-07,Orthodox Christmas Day,2023,1,7,Sat,Orthodox,,United States,,
2023-01-07,"International Programmers' Day",2023,1,7,Sat,Worldwide observance,,United States,,
2023-01-07,Estelle Reel Day,2023,1,7,Sat,Local observance,,United States,WY,Wyoming
2023-01-08,Battle of New Orleans,2023,1,8,Sun,Local observance,,United States,LA,Louisiana
2023-01-13,Friday the 13th,2023,1,13,Fri,Worldwide observance,,United States,,
2023-01-13,Stephen Foster Memorial Day,2023,1,13,Fri,Observance,,United States,,
2023-01-14,Orthodox New Year,2023,1,14,Sat,Orthodox,,United States,,
2023-01-15,World Religion Day,2023,1,15,Sun,Worldwide observance,,United States,,
2023-01-16,Martin Luther King Jr. Day,2023,1,16,Mon,Local holiday,,United States,,"Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Massachusetts,Maine,Maryland,Michigan,Minnesota,Missouri,Mississippi,Montana,Nebraska,New Hampshire,Nevada,New Jersey,New Mexico,North Carolina,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wyoming,Wisconsin"
2023-01-16,Martin Luther King Jr. Day,2023,1,16,Mon,National holiday,,United States,,
2023-01-16,"Robert E. Lee's Birthday",2023,1,16,Mon,Local holiday,,United States,AL,Alabama
2023-01-16,"Robert E. Lee's Birthday",2023,1,16,Mon,Local holiday,,United States,MS,Mississippi
2023-01-16,Idaho Human Rights Day,2023,1,16,Mon,Local holiday,,United States,ID,Idaho
2023-01-16,Civil Rights Day,2023,1,16,Mon,Local holiday,,United States,NH,New Hampshire
2023-01-16,Civil Rights Day,2023,1,16,Mon,Local holiday,,United States,AZ,Arizona
2023-01-19,"Robert E. Lee's Birthday",2023,1,19,Thu,Local observance,,United States,FL,Florida
2023-01-19,State Holiday,2023,1,19,Thu,Local observance,,United States,GA,Georgia
2023-01-19,"Confederate Heroes' Day",2023,1,19,Thu,Local holiday,,United States,TX,Texas
2023-01-22,Lunar New Year,2023,1,22,Sun,Observance,,United States,,
2023-01-24,International Day of Education,2023,1,24,Tue,United Nations observance,,United States,,
2023-01-26,International Customs Day,2023,1,26,Thu,Worldwide observance,,United States,,
2023-01-27,International Day of Commemoration in Memory of the Victims of the Holocaust,2023,1,27,Fri,United Nations observance,,United States,,
2023-01-29,World Leprosy Day,2023,1,29,Sun,Worldwide observance,,United States,,
2023-01-29,Kansas Day,2023,1,29,Sun,Observance,,United States,KS,Kansas
2023-02-01,National Freedom Day,2023,2,1,Wed,Observance,,United States,,
2023-02-01,National Girls and Women in Sports Day,2023,2,1,Wed,Observance,,United States,,
2023-02-01,First Day of Black History Month,2023,2,1,Wed,Observance,,United States,,
2023-02-02,World Wetlands Day,2023,2,2,Thu,Worldwide observance,,United States,,
2023-02-02,Groundhog Day,2023,2,2,Thu,Observance,,United States,,
2023-02-03,National Wear Red Day,2023,2,3,Fri,Observance,,United States,,
2023-02-04,International Day of Human Fraternity,2023,2,4,Sat,United Nations observance,,United States,,
2023-02-04,World Cancer Day,2023,2,4,Sat,Worldwide observance,,United States,,
2023-02-04,Rosa Parks Day,2023,2,4,Sat,Local observance,,United States,MO,Missouri
2023-02-04,Rosa Parks Day,2023,2,4,Sat,Local observance,,United States,CA,California
2023-02-04,Rosa Parks Day,2023,2,4,Sat,Local holiday,,United States,NY,New York
2023-02-06,"Tu Bishvat/Tu B'Shevat",2023,2,6,Mon,Hebrew,,United States,,
2023-02-06,International Day of Zero Tolerance for Female Genital Mutilation,2023,2,6,Mon,United Nations observance,,United States,,
2023-02-06,Ronald Reagan Day,2023,2,6,Mon,Local observance,,United States,CA,California
2023-02-10,World Pulses Day,2023,2,10,Fri,United Nations observance,,United States,,
2023-02-11,International Day of Women and Girls in Science,2023,2,11,Sat,United Nations observance,,United States,,
2023-02-11,World Day of the Sick,2023,2,11,Sat,Worldwide observance,,United States,,
2023-02-12,"Lincoln's Birthday",2023,2,12,Sun,Local holiday,,United States,"CT, IL, NY, MO","Connecticut,Illinois,New York,Missouri"
2023-02-12,"Lincoln's Birthday",2023,2,12,Sun,Local observance,,United States,FL,Florida
2023-02-12,Georgia Day,2023,2,12,Sun,Local observance,,United States,GA,Georgia
2023-02-12,Super Bowl,2023,2,12,Sun,Sporting event,,United States,,
2023-02-13,World Radio Day,2023,2,13,Mon,United Nations observance,,United States,,
2023-02-13,"Lincoln's Birthday",2023,2,13,Mon,Local holiday,1,United States,"CT, IL, NY, MO","Connecticut,Illinois,New York,Missouri"
2023-02-14,"Valentine's Day",2023,2,14,Tue,Observance,,United States,,
2023-02-14,Statehood Day,2023,2,14,Tue,Local observance,,United States,AZ,Arizona
2023-02-15,"Susan B. Anthony's Birthday",2023,2,15,Wed,Local observance,,United States,"FL, WI","Florida,Wisconsin"
2023-02-15,Susan B. Anthony Day,2023,2,15,Wed,Local observance,,United States,"CO, NY","Colorado,New York"
2023-02-16,Elizabeth Peratrovich Day,2023,2,16,Thu,Local holiday,,United States,AK,Alaska
2023-02-18,Maha Shivaratri,2023,2,18,Sat,Hinduism,,United States,,
2023-02-18,"Isra and Mi'raj",2023,2,18,Sat,Muslim,,United States,,
2023-02-20,World Day of Social Justice,2023,2,20,Mon,United Nations observance,,United States,,
2023-02-20,"Presidents' Day",2023,2,20,Mon,National holiday,,United States,,
2023-02-20,"Presidents' Day",2023,2,20,Mon,Local holiday,,United States,"All except DE, FL, GA, IA, KS, KY, LA, NC, RI, WI","Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Hawaii,Idaho,Illinois,Indiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wyoming,District of Columbia"
2023-02-20,"Presidents' Day",2023,2,20,Mon,Local holiday,,United States,"KS, KY, LA, NC, RI, WI","Kansas,Kentucky,Louisiana,North Carolina,Rhode Island,Wisconsin"
2023-02-20,Daisy Gatson Bates Day,2023,2,20,Mon,Local holiday,,United States,AR,Arkansas
2023-02-21,International Mother Language Day,2023,2,21,Tue,United Nations observance,,United States,,
2023-02-21,Shrove Tuesday/Mardi Gras,2023,2,21,Tue,Local holiday,,United States,FL (community),Florida
